Geneid	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL53_D_S42Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL53_V_S52Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL59_D_S19Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL50_V_S38Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL56_V_S7Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL69_D_S11Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL63_D_S15Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL50_D_S13Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL67_D_S22Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL67_V_S74Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL65_V_S69Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL59_V_S72Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL65_D_S48Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL56_D_S25Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL69_V_S39Aligned.sortedByCoord.out.bam	/hpcfs/users/a1647910/20200310_rRNADepletion/4_T47D_ZR75_DHT_StrippedSerum/2_alignedData/bam/GLL63_V_S8Aligned.sortedByCoord.out.bam
ENSG00000274481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	226	184	131	145	166	0	0	168	0	0	0	257	0	145	1	0
ENSG00000286989	17	12	7	9	8	0	0	10	0	0	0	7	0	4	1	0
ENSG00000272106	20	23	18	18	20	29	42	25	23	67	35	30	68	9	30	55
ENSG00000197530	130	150	77	113	84	81	61	93	66	164	101	153	222	111	60	95
ENSG00000189409	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ENSG00000248333	115	122	72	107	98	77	52	73	67	127	67	147	127	112	56	96
ENSG00000272004	0	0	1	0	3	0	0	2	0	0	0	2	1	2	0	0
ENSG00000189339	515	545	331	433	462	204	211	488	164	340	250	687	412	401	160	274
ENSG00000269737	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000215914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	29	35	18	26	30	39	20	17	25	48	32	42	46	23	19	40
ENSG00000268575	47	48	31	43	48	45	32	31	36	84	42	76	86	32	39	49
ENSG00000227775	1	0	0	0	0	1	1	0	2	1	1	1	3	0	3	0
ENSG00000215790	148	200	113	159	138	484	398	157	350	712	488	265	809	112	346	483
ENSG00000008130	555	579	364	465	503	301	282	466	254	372	342	838	537	439	193	326
ENSG00000078369	3511	3906	2723	2752	3357	2202	1584	3030	1313	2197	1865	5285	2978	3023	1569	2040
ENSG00000231050	3	5	3	3	2	1	1	3	3	7	4	4	2	3	2	2
ENSG00000169885	7	8	4	0	5	0	0	4	5	7	1	15	4	6	1	3
ENSG00000178821	6	9	5	3	4	6	2	10	0	4	3	17	7	5	1	7
ENSG00000142609	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0
ENSG00000233542	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSG00000187730	16	24	4	8	13	3	0	12	3	5	2	23	2	15	4	2
ENSG00000226969	0	0	0	0	1	0	0	1	1	0	1	0	0	3	0	0
ENSG00000067606	475	484	266	364	361	225	188	389	160	302	215	552	407	322	174	264
ENSG00000271806	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
ENSG00000182873	2	5	1	0	5	0	2	1	0	0	2	1	0	0	1	0
ENSG00000162585	167	191	112	128	117	41	52	140	41	88	64	238	103	122	42	71
ENSG00000234396	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	337	352	333	246	370	103	77	295	59	141	83	657	208	292	56	107
ENSG00000287356	4	11	5	2	5	1	9	8	1	4	3	4	5	4	2	4
ENSG00000116151	155	181	89	111	128	86	76	114	65	134	112	178	167	106	71	99
ENSG00000272161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269896	13	13	12	6	10	14	21	18	17	28	20	24	31	11	11	13
ENSG00000272420	1	1	1	1	0	0	2	4	1	3	2	5	1	2	2	3
ENSG00000157916	2176	2198	1452	1560	1746	1023	768	1984	663	1163	936	2818	1534	1829	653	956
ENSG00000157911	694	565	389	398	481	244	232	585	192	332	246	570	496	483	170	273
ENSG00000149527	82	47	40	45	47	1	1	66	0	1	0	76	3	58	0	0
ENSG00000224387	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000229393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157881	204	162	123	150	145	114	79	119	77	140	92	227	182	137	107	130
ENSG00000197921	3	3	3	5	2	0	0	0	0	0	0	3	0	4	0	0
ENSG00000272449	10	12	9	9	7	4	8	17	5	13	12	20	19	11	1	14
ENSG00000238164	4	10	2	7	5	0	0	2	0	0	0	3	1	0	0	0
ENSG00000157873	132	146	57	105	112	28	34	114	15	65	33	145	57	101	17	36
ENSG00000225931	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000228037	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0
ENSG00000157870	621	651	362	481	497	131	94	484	66	148	132	745	204	479	86	149
ENSG00000142606	92	95	60	93	89	9	15	86	24	24	20	121	32	70	10	17
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	14	17	12	12	5	3	0	11	1	7	2	34	9	12	4	6
ENSG00000285945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287396	1	1	2	1	1	0	1	0	0	0	0	1	0	2	0	2
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000142611	20	13	21	13	21	1	1	18	0	0	0	28	1	10	1	1
ENSG00000283572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279839	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000272235	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762	692	739	441	502	551	137	114	571	116	209	143	851	254	520	104	133
ENSG00000272088	0	2	1	1	1	0	0	2	2	0	0	3	0	0	1	0
ENSG00000162591	191	193	96	124	116	102	124	109	79	198	170	213	280	152	99	151
ENSG00000207776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	1	0	0	0	0	3	0	0	0	0	1	0	2	0	2	1
ENSG00000158109	357	389	290	275	294	274	221	311	186	330	263	457	415	329	157	318
ENSG00000116213	269	257	213	186	232	181	170	230	120	215	157	375	264	201	124	194
ENSG00000078900	105	130	57	61	85	100	85	67	85	144	120	124	212	77	120	142
ENSG00000227589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	243	280	141	190	198	129	110	178	81	186	124	332	202	180	97	166
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000235169	68	36	17	34	30	5	12	32	1	5	11	53	12	37	5	19
ENSG00000130764	486	482	291	384	425	285	249	377	180	409	302	688	495	392	215	346
ENSG00000266075	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272153	1	2	1	1	1	0	0	1	0	1	0	0	0	0	0	1
ENSG00000116198	370	472	302	375	398	398	223	413	241	366	257	699	485	364	273	326
ENSG00000169598	55	60	33	58	51	30	33	45	21	42	35	84	56	47	32	45
ENSG00000198912	165	155	114	119	140	129	140	125	115	229	151	236	280	113	135	192
ENSG00000236423	9	8	4	3	2	0	5	5	3	3	5	9	9	4	2	6
ENSG00000233304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1
ENSG00000284703	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	0	0	0	1	0	1	0	0	2	0	0	2	0	0	3	0
ENSG00000287586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000284692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	235	243	154	169	202	73	72	198	59	137	89	318	169	184	65	95
ENSG00000069424	71	82	43	61	57	21	25	65	14	34	27	105	35	71	18	27
ENSG00000116254	24	24	10	16	18	38	36	17	14	46	42	33	56	24	38	42
ENSG00000285629	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000116251	3575	4375	2429	3520	3840	1880	1338	4272	1236	1910	1333	5365	2452	3450	1204	1911
ENSG00000226944	3	5	3	2	5	2	1	2	1	2	0	5	1	2	0	1
ENSG00000158286	112	111	57	88	83	64	58	101	51	150	99	156	169	99	68	91
ENSG00000116237	2472	2666	1482	1688	2160	1551	1263	1968	978	1637	1364	3388	2276	1926	1222	1563
ENSG00000225077	27	39	18	22	20	8	9	21	5	14	9	33	16	25	7	9
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292	221	220	164	175	197	52	35	183	31	53	64	330	88	197	45	51
ENSG00000097021	299	328	224	196	260	256	182	225	159	327	218	364	343	259	207	271
ENSG00000271746	6	7	2	2	5	1	0	3	2	2	1	1	2	3	2	2
ENSG00000069812	6	6	11	7	12	10	10	7	7	16	16	14	26	11	13	15
ENSG00000187017	454	454	323	338	340	108	109	343	103	312	194	627	289	374	113	162
ENSG00000265392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215788	17	16	10	12	13	8	17	2	12	22	14	21	30	11	8	12
ENSG00000171680	75	71	42	50	63	72	54	58	34	97	68	97	111	73	49	71
ENSG00000162408	701	823	469	522	691	514	422	660	363	569	469	1096	756	574	420	543
ENSG00000253022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173662	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000204859	213	228	128	172	175	69	119	168	65	120	88	267	152	144	73	139
ENSG00000162413	460	555	262	374	333	125	149	349	75	178	147	670	255	348	92	175
ENSG00000116273	296	304	231	243	265	117	122	260	99	178	139	512	207	259	103	168
ENSG00000041988	111	155	89	106	107	87	77	130	68	132	84	160	159	98	64	117
ENSG00000007923	1125	1194	753	849	1071	374	334	918	244	523	336	1401	557	985	302	413
ENSG00000228750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	3	2	0	2	0	6	0	1	0	0	0	0	1	2	0	0
ENSG00000171735	452	534	382	370	420	119	99	407	91	149	108	678	189	366	105	106
ENSG00000227950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
